Observation Order,Exam Code,Course ID,Year,Semester,Course,Subject,Exam,Class Order,ID-Scrambled,Gender,Exam Type,Correct,Wrong,Score,Z-Score
3,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,3,2437268,F,A,17,8,68,-0.264520202
5,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,5,2436126,F,A,17,8,68,-0.264520202
6,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,6,2580688,F,A,15,10,60,-0.769570707
11,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,11,2580738,F,A,16,9,64,-0.517045455
12,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,12,2704964,F,A,19,6,76,0.240530303
13,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,13,2436194,F,A,19,6,76,0.240530303
18,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,18,2438768,F,A,23,2,92,1.250631313
23,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,23,2436278,F,A,19,6,76,0.240530303
25,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,25,2437482,F,A,21,4,84,0.745580808
29,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,29,2705146,F,A,20,5,80,0.493055556
32,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,32,2303670,F,A,23,2,92,1.250631313
35,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,35,2438950,F,A,24,1,96,1.503156566
41,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,41,2435074,F,A,11,14,44,-1.779671717
42,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,42,2436324,F,A,20,5,80,0.493055556
43,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,43,2580968,F,A,10,15,40,-2.03219697
46,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,46,1215030,F,A,21,4,84,0.745580808
51,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,51,2436392,F,A,23,2,92,1.250631313
52,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,52,2648400,F,A,22,3,88,0.998106061
56,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,56,2436440,F,A,20,5,80,0.493055556
57,S12-ECON210-3-Macro-MT,S12-ECON210-3-Macro,2012,S12,ECON210-3,Macroeconomics,MT,57,2217092,F,A,16,9,64,-0.517045455
